makeId,modelId,makeName,usage,year,IDV_Category,Price,modelName
20085,22402,Scion,Used,2013,I,10046.1818,xB
20077,21764,Nissan,Used,2014,I,14535.2857,Quest
20015,30032338,Ford,Used,2016,I,14767.3667,UtilityPoliceInterceptor
20068,21828,Kia,Used,2017,I,11193.9,Rio
20077,35967,Nissan,Used,2014,I,13951.5,Juke
20073,21447,Mazda,Used,2014,I,12205.2,Mazda6
20077,35967,Nissan,Used,2013,I,10777.7333,Juke
20228,21164,smart,Used,2016,I,11853.0141,ForTwo
20005,20406,BMW,Used,2013,I,13042.6667,320
20030,34227059,Mitsubishi,Used,2018,I,11491.0,MirageG4
20060,51868,FIAT,Used,2014,I,9927.6154,500L
20053,42324,Chevrolet,Used,2015,I,9116.6667,Sonic
20077,35968,Nissan,Used,2017,I,14880.0,Leaf
20075,20891,MINI,Used,2014,I,13956.2737,Coupe
20053,57447,Chevrolet,Used,2015,I,14467.5,CityExpress
20088,20658,Toyota,Used,2014,I,14915.0,Avalon
20053,49403,Chevrolet,Used,2014,I,10630.0649,CaptivaSport
20075,20891,MINI,Used,2013,I,11691.1667,Coupe
20001,48964,Acura,Used,2014,I,13039.6667,ILXHybrid
20089,43344,Volkswagen,Used,2013,I,11265.7778,Beetle
20053,53187,Chevrolet,Used,2015,I,10207.125,SparkEV
20077,35968,Nissan,Used,2016,I,13348.5,Leaf
20075,38203,MINI,Used,2013,I,10664.0,Clubman
20089,21896,Volkswagen,Used,2014,I,12253.5714,Routan
20015,21138,Ford,Used,2015,I,9514.4211,Focus
20068,21828,Kia,Used,2013,I,7073.0,Rio
20017,20848,Honda,Used,2015,I,14610.3784,CivicHybrid
20088,35084961,Toyota,Used,2018,I,13500.3592,YarisiA
20017,35363,Honda,Used,2016,I,14560.6364,CRZ
20015,57387,Ford,Used,2013,I,7791.7419,SedanPoliceInterceptor
20053,35025,Chevrolet,Used,2015,I,13993.1,Volt
20053,53187,Chevrolet,Used,2014,I,8694.4364,SparkEV
20088,35084961,Toyota,Used,2018,I,14254.3889,YarisiA
20060,20483,FIAT,Used,2015,I,11000.0,500
20089,43344,Volkswagen,Used,2014,I,14241.0,Beetle
20089,21758,Volkswagen,Used,2015,I,12474.5294,Passat
20064,39583,Hyundai,Used,2014,I,12772.5,SonataHybrid
20053,35025,Chevrolet,Used,2014,I,12100.2727,Volt
20089,50644,Volkswagen,Used,2013,I,11790.3,JettaSportWagen
20077,22274,Nissan,Used,2018,I,10679.0,Versa
44763,45303,RAM,Used,2013,I,8056.5926,Cargo
20044,22379,Volvo,Used,2014,I,13462.3333,XC60
20060,53260,FIAT,Used,2016,I,9824.4824,500e
20068,40463,Kia,Used,2015,I,14132.3125,OptimaHybrid
20001,58167,Acura,Used,2014,I,13950.0,RLXSportHybrid
20085,22341,Scion,Used,2014,I,11592.9216,xD
20012,20663,Dodge,Used,2014,I,9439.7833,Avenger
20060,51868,FIAT,Used,2014,I,8786.5,500L
20228,42803,smart,Used,2016,I,7050.8143,ForTwoElectricDrive
20025,27841,Lincoln,Used,2014,I,14556.2857,MKT
20025,38163,Lincoln,Used,2014,I,13809.0,MKZHybrid
20049,20596,Audi,Used,2013,I,12120.0,A4
20077,35967,Nissan,Used,2016,I,14650.0588,Juke
20089,21758,Volkswagen,Used,2017,I,14721.6667,Passat
20060,43523,FIAT,Used,2017,I,14292.6,500C
20030,21466,Mitsubishi,Used,2014,I,5977.4444,Mirage
20075,20891,MINI,Used,2015,I,12039.5556,Coupe
20060,51868,FIAT,Used,2015,I,11165.1111,500L
20073,35965,Mazda,Used,2014,I,6987.36,Mazda2
20025,21404,Lincoln,Used,2014,I,9250.0,MKZ
20077,35967,Nissan,Used,2015,I,14179.3667,Juke
20015,49085,Ford,Used,2014,I,9395.8462,CMaxHybrid
20044,21916,Volvo,Used,2013,I,11978.6,S60
20006,46183,Buick,Used,2014,I,11103.0,Verano
20077,22274,Nissan,Used,2017,I,9383.45,Versa
20015,42464,Ford,Used,2014,I,10224.012,FocusElectric
20001,47843,Acura,Used,2013,I,11985.0,ILX
20053,57087,Chevrolet,Used,2016,I,13246.2817,ImpalaLimited
20044,20749,Volvo,Used,2013,I,14766.7143,C30
44763,45303,RAM,Used,2014,I,8775.5952,Cargo
20060,20483,FIAT,Used,2016,I,10691.8889,500
20006,21878,Buick,Used,2014,I,12850.2857,Regal
20017,21128,Honda,Used,2013,I,8980.3333,Fit
20053,57087,Chevrolet,Used,2014,I,10327.5556,ImpalaLimited
20089,21758,Volkswagen,Used,2014,I,13696.75,Passat
20077,56530,Nissan,Used,2015,I,13133.8454,RogueSelect
20008,22191,Chrysler,Used,2013,I,11718.5263,TownCountry
20088,22331,Toyota,Used,2016,I,11498.8333,Yaris
20006,46183,Buick,Used,2015,I,13650.0,Verano
20075,51006,MINI,Used,2014,I,13243.4,Hardtop
20015,21136,Ford,Used,2014,I,14539.25,Flex
20015,50243,Ford,Used,2014,I,11348.7143,CMaxEnergi
